ALL	阿尔巴尼亚列克
AFN	阿富汗 阿富汗尼
ARS	阿根廷比索
AWG	阿鲁巴盾
AUD	澳元
AZN	阿塞拜疆马纳特
BSD	巴哈马元
BBD	巴巴多斯元
BYN	白俄罗斯卢布
BZD	伯利兹元
BMD	百慕大元
BOB	玻利维亚玻利维亚诺
BAM	波斯尼亚和黑塞哥维那可兑换马克
BWP	博茨瓦纳普拉
BGN	保加利亚列弗
BRL	巴西雷亚尔
BND	文莱达鲁萨兰国元
KHR	柬埔寨瑞尔
CAD	加元
KYD	开曼群岛元
CLP	智利比索
CNY	人民币
COP	哥伦比亚比索
CRC	哥斯达黎加科隆
HRK	克罗地亚库纳
CUP	古巴比索
CZK	捷克克朗
DKK	丹麦克朗
DOP	多米尼加共和国比索
XCD	东加勒比元
EGP	埃及镑
SVC	萨尔瓦多科隆
EUR	欧元成员国
FKP	福克兰群岛（马尔维纳斯）镑
FJD	斐济元
GHS	加纳塞地
GIP	直布罗陀镑
GTQ	危地马拉格查尔
GGP	根西岛镑
GYD	圭亚那元
HNL	洪都拉斯伦皮拉
HKD	港元
HUF	匈牙利福林
ISK	冰岛克朗
INR	印度卢比
IDR	印尼盾
IRR	伊朗里亚尔
IMP	马恩岛英镑
ILS	以色列谢克尔
JMD	牙买加元
JPY	日元
JEP	泽西镑
KZT	哈萨克斯坦腾格
KPW	朝鲜园
KRW	韩元
KGS	吉尔吉斯斯坦索姆
LAK	老挝基普
LBP	黎巴嫩镑
LRD	利比里亚元
MKD	马其顿代纳尔
MYR	马来西亚令吉
MUR	毛里求斯卢比
MXN	墨西哥比索
MNT	蒙古图格里克
MNT	摩洛哥迪拉姆
MZN	莫桑比克梅蒂卡尔
NAD	纳米比亚元
NPR	尼泊尔卢比
ANG	荷属安的列斯盾
NZD	新西兰元
NIO	尼加拉瓜科尔多瓦
NGN	尼日利亚奈拉
NOK	挪威克朗
OMR	阿曼里亚尔
PKR	巴基斯坦卢比
PAB	巴拿马巴尔博亚
PYG	巴拉圭瓜拉尼
PEN	秘鲁索尔
PHP	菲律宾比索
PLN	波兰兹罗提
QAR	卡塔尔里亚尔
RON	罗马尼亚列伊
RUB	俄罗斯卢布
SHP	圣赫勒拿镑
SAR	沙特阿拉伯里亚尔
RSD	塞尔维亚第纳尔
SCR	塞舌尔卢比
SGD	新加坡元
SBD	所罗门群岛元
SOS	索马里先令
KRW	韩元
ZAR	南非兰特
LKR	斯里兰卡卢比
SEK	瑞典克朗
CHF	瑞士法郎
SRD	苏里南元
SYP	叙利亚镑
TWD	新台币
THB	泰铢
TTD	特立尼达和多巴哥元
TRY	土耳其里拉
TVD	图瓦卢元
UAH	乌克兰格里夫纳
AED	阿联酋迪拉姆
GBP	英镑
USD	美元
UYU	乌拉圭比索
UZS	乌兹别克斯坦索姆
VEF	委内瑞拉玻利瓦尔
VND	越南东
YER	也门里亚尔
ZWD	津巴布韦元
J￥	日元
JPY￥	日元
HK＄	港元
A$	澳元
CAD$	加元
